Country,Country.Region,animals,Taxon,Prod_tonnes_mean,sd,Scenario,plot_id
Madagascar,Eastern Africa,dairy cow,Dairy & eggs,426673,,Current,2
Malawi,Eastern Africa,dairy cow,Dairy & eggs,27676,,Current,2
Malaysia,Southern Asia,dairy cow,Dairy & eggs,35748,,Current,2
Mali,Western Africa,dairy cow,Dairy & eggs,507395,,Current,2
Martinique,Caribbean,dairy cow,Dairy & eggs,37,,Current,2
Mauritania,Western Africa,dairy cow,Dairy & eggs,83028,,Current,2
Mauritius,Eastern Africa,dairy cow,Dairy & eggs,1038,,Current,2
Mexico,Central America,dairy cow,Dairy & eggs,555894,,Current,2
Mongolia,Eastern Asia,dairy cow,Dairy & eggs,163750,,Current,2
Montserrat,Caribbean,dairy cow,Dairy & eggs,577,,Current,2
Morocco,Northern Africa,dairy cow,Dairy & eggs,370398,,Current,2
Mozambique,Eastern Africa,dairy cow,Dairy & eggs,94560,,Current,2
Myanmar,Southern Asia,dairy cow,Dairy & eggs,599648,,Current,2
Namibia,Southern Africa,dairy cow,Dairy & eggs,51431,,Current,2
Nepal,Southern Asia,dairy cow,Dairy & eggs,236536,,Current,2
Nicaragua,Central America,dairy cow,Dairy & eggs,234093,,Current,2
Niger,Western Africa,dairy cow,Dairy & eggs,352870,,Current,2
Nigeria,Western Africa,dairy cow,Dairy & eggs,545449,,Current,2
Niue,Small Island Nations,dairy cow,Dairy & eggs,19,,Current,2
Occupied Palestinian Territory,Middle East,dairy cow,Dairy & eggs,5129,,Current,2
Oman,Middle East,dairy cow,Dairy & eggs,39669,,Current,2
Pakistan,Middle East,dairy cow,Dairy & eggs,2605932,,Current,2
Panama,Central America,dairy cow,Dairy & eggs,38055,,Current,2
Papua New Guinea,Small Island Nations,dairy cow,Dairy & eggs,415,,Current,2
Paraguay,South America,dairy cow,Dairy & eggs,51893,,Current,2
Peru,South America,dairy cow,Dairy & eggs,183239,,Current,2
Philippines,Southern Asia,dairy cow,Dairy & eggs,1269,,Current,2
Puerto Rico,Central America,dairy cow,Dairy & eggs,23063,,Current,2
Qatar,Middle East,dairy cow,Dairy & eggs,1199,,Current,2
Republic of Korea,Eastern Asia,dairy cow,Dairy & eggs,47511,,Current,2
Republic of Moldova,East Europe and CIS,dairy cow,Dairy & eggs,30997,,Current,2
R'union,Eastern Africa,dairy cow,Dairy & eggs,5997,,Current,2
Russian Federation,East Europe and CIS,dairy cow,Dairy & eggs,1791166,,Current,2
Rwanda,Eastern Africa,dairy cow,Dairy & eggs,65500,,Current,2
Saint Lucia,Central America,dairy cow,Dairy & eggs,185,,Current,2
Saint Vincent and the Grenadines,Caribbean,dairy cow,Dairy & eggs,231,,Current,2
Samoa,Small Island Nations,dairy cow,Dairy & eggs,346,,Current,2
Sao Tome and Principe,Central Africa,dairy cow,Dairy & eggs,238,,Current,2
Saudi Arabia,Middle East,dairy cow,Dairy & eggs,57659,,Current,2
Senegal,Western Africa,dairy cow,Dairy & eggs,185891,,Current,2
Seychelles,Eastern Africa,dairy cow,Dairy & eggs,5,,Current,2
Sierra Leone,Western Africa,dairy cow,Dairy & eggs,27445,,Current,2
Solomon Islands,Small Island Nations,dairy cow,Dairy & eggs,507,,Current,2
Somalia,Eastern Africa,dairy cow,Dairy & eggs,284833,,Current,2
South Africa,Southern Africa,dairy cow,Dairy & eggs,230634,,Current,2
South Sudan,Eastern Africa,dairy cow,Dairy & eggs,1729754,,Current,2
Sri Lanka,Southern Asia,dairy cow,Dairy & eggs,69061,,Current,2
Sudan,Northern Africa,dairy cow,Dairy & eggs,3413382,,Current,2
Suriname,South America,dairy cow,Dairy & eggs,461,,Current,2
Swaziland,Southern Africa,dairy cow,Dairy & eggs,33903,,Current,2
Syrian Arab Republic,Middle East,dairy cow,Dairy & eggs,142604,,Current,2
Tajikistan,East Europe and CIS,dairy cow,Dairy & eggs,240405,,Current,2
Thailand,Southern Asia,dairy cow,Dairy & eggs,84181,,Current,2
Togo,Western Africa,dairy cow,Dairy & eggs,13146,,Current,2
Tonga,Small Island Nations,dairy cow,Dairy & eggs,60,,Current,2
Trinidad and Tobago,Caribbean,dairy cow,Dairy & eggs,3229,,Current,2
Tunisia,Northern Africa,dairy cow,Dairy & eggs,144838,,Current,2
Turkey,Middle East,dairy cow,Dairy & eggs,1293227,,Current,2
Turkmenistan,East Europe and CIS,dairy cow,Dairy & eggs,230634,,Current,2
Uganda,Eastern Africa,dairy cow,Dairy & eggs,795687,,Current,2
Ukraine,East Europe and CIS,dairy cow,Dairy & eggs,580298,,Current,2
United Arab Emirates,Middle East,dairy cow,Dairy & eggs,8764,,Current,2
United Republic of Tanzania,Eastern Africa,dairy cow,Dairy & eggs,1602906,,Current,2
United States Virgin Islands,Caribbean,dairy cow,Dairy & eggs,191,,Current,2
Uruguay,South America,dairy cow,Dairy & eggs,175282,,Current,2
Uzbekistan,East Europe and CIS,dairy cow,Dairy & eggs,926479,,Current,2
Vanuatu,Small Island Nations,dairy cow,Dairy & eggs,3460,,Current,2
Venezuela (Bolivarian Republic of),South America,dairy cow,Dairy & eggs,496094,,Current,2
Viet Nam,Southern Asia,dairy cow,Dairy & eggs,35056,,Current,2
Wallis and Futuna Islands,Small Island Nations,dairy cow,Dairy & eggs,7,,Current,2
Yemen,Middle East,dairy cow,Dairy & eggs,95713,,Current,2
Zambia,Eastern Africa,dairy cow,Dairy & eggs,68037,,Current,2
Zimbabwe,Eastern Africa,dairy cow,Dairy & eggs,213336,,Current,2
Albania,Europe,dairy cow,Dairy & eggs,94988,27958,BAU,2
Australia,Australia,dairy cow,Dairy & eggs,463410,28121,BAU,2
Austria,Europe,dairy cow,Dairy & eggs,144174,1056,BAU,2
Belgium,Europe,dairy cow,Dairy & eggs,126346,99484,BAU,2
Bermuda,USA,dairy cow,Dairy & eggs,110,1255160,BAU,2
Bosnia and Herzegovina,Europe,dairy cow,Dairy & eggs,68879,8874,BAU,2
Bulgaria,Europe,dairy cow,Dairy & eggs,79256,43294,BAU,2
Canada,Canada,dairy cow,Dairy & eggs,263640,13469,BAU,2
Croatia,Europe,dairy cow,Dairy & eggs,45564,11804,BAU,2
Czech Republic,Europe,dairy cow,Dairy & eggs,102313,10,BAU,2
Denmark,Europe,dairy cow,Dairy & eggs,159842,6435,BAU,2
Estonia,Europe,dairy cow,Dairy & eggs,26817,7404,BAU,2
Finland,Europe,dairy cow,Dairy & eggs,77710,24630,BAU,2
France,Europe,dairy cow,Dairy & eggs,1014824,4257,BAU,2
Germany,Europe,dairy cow,Dairy & eggs,1171382,9558,BAU,2
Greece,Europe,dairy cow,Dairy & eggs,58135,14933,BAU,2
Hungary,Europe,dairy cow,Dairy & eggs,70267,2505,BAU,2
Iceland,Europe,dairy cow,Dairy & eggs,6264,7260,BAU,2
Ireland,Europe,dairy cow,Dairy & eggs,319277,94809,BAU,2
Italy,Europe,dairy cow,Dairy & eggs,551434,109435,BAU,2
Latvia,Europe,dairy cow,Dairy & eggs,45290,5431,BAU,2
Liechtenstein,Europe,dairy cow,Dairy & eggs,649,6565,BAU,2
Lithuania,Europe,dairy cow,Dairy & eggs,86654,585,BAU,2
Luxembourg,Europe,dairy cow,Dairy & eggs,11627,29828,BAU,2
Malta,Europe,dairy cow,Dairy & eggs,1765,51517,BAU,2
Montenegro,Europe,dairy cow,Dairy & eggs,16743,4231,BAU,2
Netherlands,Europe,dairy cow,Dairy & eggs,438348,61,BAU,2
New Caledonia,Small Island Nations,dairy cow,Dairy & eggs,145,8096,BAU,2
New Zealand,New Zealand,dairy cow,Dairy & eggs,1313191,1086,BAU,2
Norway,Europe,dairy cow,Dairy & eggs,62597,165,BAU,2
Poland,Europe,dairy cow,Dairy & eggs,647941,1564,BAU,2
Portugal,Europe,dairy cow,Dairy & eggs,67632,40952,BAU,2
Romania,Europe,dairy cow,Dairy & eggs,319140,14,BAU,2
Serbia,Europe,dairy cow,Dairy & eggs,122673,122684,BAU,2
Slovakia,Europe,dairy cow,Dairy & eggs,41115,5848,BAU,2
Slovenia,Europe,dairy cow,Dairy & eggs,30473,60533,BAU,2
Spain,Europe,dairy cow,Dairy & eggs,235176,6318,BAU,2
Sweden,Europe,dairy cow,Dairy & eggs,94428,29815,BAU,2
Switzerland,Europe,dairy cow,Dairy & eggs,161897,11461,BAU,2
The former Yugoslav Republic of Macedonia,Europe,dairy cow,Dairy & eggs,34727,3841,BAU,2
United Kingdom,Europe,dairy cow,Dairy & eggs,493244,2847,BAU,2
United States of America,USA,dairy cow,Dairy & eggs,2530148,21971,BAU,2
Afghanistan,Middle East,dairy cow,Dairy & eggs,1281581,38,BAU,2
Algeria,Northern Africa,dairy cow,Dairy & eggs,323568,0,BAU,2
American Samoa,Small Island Nations,dairy cow,Dairy & eggs,10,0,BAU,2
Angola,Central Africa,dairy cow,Dairy & eggs,107856,4209,BAU,2
Antigua and Barbuda,Caribbean,dairy cow,Dairy & eggs,1999,3810,BAU,2
Argentina,South America,dairy cow,Dairy & eggs,695670,111813,BAU,2
Armenia,East Europe and CIS,dairy cow,Dairy & eggs,96207,28230,BAU,2
Azerbaijan,Middle East,dairy cow,Dairy & eggs,412886,1,BAU,2
Bahamas,Caribbean,dairy cow,Dairy & eggs,235,9410,BAU,2
Bahrain,Middle East,dairy cow,Dairy & eggs,1554,174,BAU,2
Bangladesh,Middle East,dairy cow,Dairy & eggs,1293318,60694,BAU,2
Barbados,Caribbean,dairy cow,Dairy & eggs,1047,8394,BAU,2
Belarus,East Europe and CIS,dairy cow,Dairy & eggs,481957,36023,BAU,2
Belize,Central America,dairy cow,Dairy & eggs,1586,20,BAU,2
Benin,Western Africa,dairy cow,Dairy & eggs,79940,136,BAU,2
Bhutan,Middle East,dairy cow,Dairy & eggs,47583,112837,BAU,2
Bolivia (Plurinational State of),South America,dairy cow,Dairy & eggs,59955,91,BAU,2
Botswana,Southern Africa,dairy cow,Dairy & eggs,104684,42049,BAU,2
Brazil,South America,dairy cow,Dairy & eggs,7281709,138,BAU,2
British Virgin Islands,Caribbean,dairy cow,Dairy & eggs,0,6974,BAU,2
Brunei Darussalam,Southern Asia,dairy cow,Dairy & eggs,32,4151,BAU,2
Burkina Faso,Western Africa,dairy cow,Dairy & eggs,385843,5231,BAU,2
Burundi,Eastern Africa,dairy cow,Dairy & eggs,38067,9133,BAU,2
Cabo Verde,Western Africa,dairy cow,Dairy & eggs,2035,635300,BAU,2
Cambodia,Southern Asia,dairy cow,Dairy & eggs,43777,0,BAU,2
Cameroon,Central Africa,dairy cow,Dairy & eggs,103097,3,BAU,2
Central African Republic,Central Africa,dairy cow,Dairy & eggs,91995,33663,BAU,2
Chad,Central Africa,dairy cow,Dairy & eggs,233793,3321,BAU,2
Chile,South America,dairy cow,Dairy & eggs,323568,178,BAU,2
"China, Hong Kong SAR",Eastern Asia,dairy cow,Dairy & eggs,0,3819,BAU,2
"China, mainland",China,dairy cow,Dairy & eggs,3838399,8995,BAU,2
"China, Taiwan Province of",China,dairy cow,Dairy & eggs,18762,8026,BAU,2
Colombia,South America,dairy cow,Dairy & eggs,1693971,20398,BAU,2
Comoros,Eastern Africa,dairy cow,Dairy & eggs,3331,28230,BAU,2
Congo,Central Africa,dairy cow,Dairy & eggs,856,0,BAU,2
Costa Rica,Central America,dairy cow,Dairy & eggs,249655,334885,BAU,2
Cote d'Ivoire,Western Africa,dairy cow,Dairy & eggs,91292,1637,BAU,2
Cuba,Caribbean,dairy cow,Dairy & eggs,126984,147792,BAU,2
Cyprus,Western Asia,dairy cow,Dairy & eggs,7788,291,BAU,2
Democratic People's Republic of Korea,Eastern Asia,dairy cow,Dairy & eggs,13323,75,BAU,2
Democratic Republic of the Congo,Central Africa,dairy cow,Dairy & eggs,2918,21781,BAU,2
Djibouti,Eastern Africa,dairy cow,Dairy & eggs,8406,7965,BAU,2
Dominica,Caribbean,dairy cow,Dairy & eggs,2538,11079,BAU,2
Dominican Republic,Caribbean,dairy cow,Dairy & eggs,139578,679,BAU,2
Ecuador,South America,dairy cow,Dairy & eggs,400970,1162,BAU,2
Egypt,Northern Africa,dairy cow,Dairy & eggs,502005,255,BAU,2
El Salvador,Central America,dairy cow,Dairy & eggs,89140,733,BAU,2
Eritrea,Eastern Africa,dairy cow,Dairy & eggs,225863,221,BAU,2
Ethiopia,Eastern Africa,dairy cow,Dairy & eggs,3457731,12178,BAU,2
Falkland Islands (Malvinas),South America,dairy cow,Dairy & eggs,539,34983,BAU,2
Fiji,Small Island Nations,dairy cow,Dairy & eggs,9739,43798,BAU,2
French Guiana,South America,dairy cow,Dairy & eggs,206,7777,BAU,2
French Polynesia,Small Island Nations,dairy cow,Dairy & eggs,162,19706,BAU,2
Gabon,Central Africa,dairy cow,Dairy & eggs,3172,301673,BAU,2
Gambia,Western Africa,dairy cow,Dairy & eggs,17130,47,BAU,2
Georgia,Western Asia,dairy cow,Dairy & eggs,191095,850,BAU,2
Ghana,Western Africa,dairy cow,Dairy & eggs,99925,18,BAU,2
Grenada,Caribbean,dairy cow,Dairy & eggs,206,14,BAU,2
Guadeloupe,Caribbean,dairy cow,Dairy & eggs,35,277,BAU,2
Guatemala,Central America,dairy cow,Dairy & eggs,215648,1495,BAU,2
Guinea,Western Africa,dairy cow,Dairy & eggs,197947,16672,BAU,2
Guinea-Bissau,Western Africa,dairy cow,Dairy & eggs,32674,8718,BAU,2
Guyana,South America,dairy cow,Dairy & eggs,12054,18,BAU,2
Haiti,Caribbean,dairy cow,Dairy & eggs,67251,3,BAU,2
Honduras,Central America,dairy cow,Dairy & eggs,177930,18814,BAU,2
India,Southern Asia,dairy cow,Dairy & eggs,14243316,17270,BAU,2
Indonesia,Southern Asia,dairy cow,Dairy & eggs,201754,2851,BAU,2
Iran (Islamic Republic of),Middle East,dairy cow,Dairy & eggs,938029,1052,BAU,2
Iraq,Middle East,dairy cow,Dairy & eggs,116421,5867,BAU,2
Israel,Middle East,dairy cow,Dairy & eggs,39970,15524,BAU,2
Jamaica,Caribbean,dairy cow,Dairy & eggs,4283,1242673,BAU,2
Japan,Eastern Asia,dairy cow,Dairy & eggs,314717,17602,BAU,2
Jordan,Western Asia,dairy cow,Dairy & eggs,12340,81839,BAU,2
Kazakhstan,East Europe and CIS,dairy cow,Dairy & eggs,690987,10157,BAU,2
Kenya,Eastern Africa,dairy cow,Dairy & eggs,1820860,3487,BAU,2
Kuwait,Western Asia,dairy cow,Dairy & eggs,3014,374,BAU,2
Kyrgyzstan,East Europe and CIS,dairy cow,Dairy & eggs,227930,27458,BAU,2
Lao People's Democratic Republic,Southern Asia,dairy cow,Dairy & eggs,11420,1077,BAU,2
Lebanon,Middle East,dairy cow,Dairy & eggs,21291,60286,BAU,2
Lesotho,Southern Africa,dairy cow,Dairy & eggs,42984,158863,BAU,2
Liberia,Western Africa,dairy cow,Dairy & eggs,2062,263,BAU,2
Libya,Northern Africa,dairy cow,Dairy & eggs,42508,19886,BAU,2
Madagascar,Eastern Africa,dairy cow,Dairy & eggs,586863,996,BAU,2
Malawi,Eastern Africa,dairy cow,Dairy & eggs,38067,1858,BAU,2
Malaysia,Southern Asia,dairy cow,Dairy & eggs,49170,3750,BAU,2
Mali,Western Africa,dairy cow,Dairy & eggs,697891,180,BAU,2
Martinique,Caribbean,dairy cow,Dairy & eggs,51,3709,BAU,2
Mauritania,Western Africa,dairy cow,Dairy & eggs,114200,51201,BAU,2
Mauritius,Eastern Africa,dairy cow,Dairy & eggs,1428,3321,BAU,2
Mexico,Central America,dairy cow,Dairy & eggs,764599,4290,BAU,2
Mongolia,Eastern Asia,dairy cow,Dairy & eggs,225228,60888,BAU,2
Montserrat,Caribbean,dairy cow,Dairy & eggs,793,4,BAU,2
Morocco,Northern Africa,dairy cow,Dairy & eggs,509460,9964,BAU,2
Mozambique,Eastern Africa,dairy cow,Dairy & eggs,130061,125,BAU,2
Myanmar,Southern Asia,dairy cow,Dairy & eggs,824780,66708,BAU,2
Namibia,Southern Africa,dairy cow,Dairy & eggs,70741,19650,BAU,2
Nepal,Southern Asia,dairy cow,Dairy & eggs,325341,69,BAU,2
Nicaragua,Central America,dairy cow,Dairy & eggs,321981,44448,BAU,2
Niger,Western Africa,dairy cow,Dairy & eggs,485351,11347,BAU,2
Nigeria,Western Africa,dairy cow,Dairy & eggs,750233,71959,BAU,2
Niue,Small Island Nations,dairy cow,Dairy & eggs,25,6172,BAU,2
Occupied Palestinian Territory,Middle East,dairy cow,Dairy & eggs,7055,28385,BAU,2
Oman,Middle East,dairy cow,Dairy & eggs,54562,28092,BAU,2
Pakistan,Middle East,dairy cow,Dairy & eggs,3584304,42345,BAU,2
Panama,Central America,dairy cow,Dairy & eggs,52342,65455,BAU,2
Papua New Guinea,Small Island Nations,dairy cow,Dairy & eggs,571,2,BAU,2
Paraguay,South America,dairy cow,Dairy & eggs,71375,616,BAU,2
Peru,South America,dairy cow,Dairy & eggs,252034,4760,BAU,2
Philippines,Southern Asia,dairy cow,Dairy & eggs,1745,312716,BAU,2
Puerto Rico,Central America,dairy cow,Dairy & eggs,31722,4567,BAU,2
Qatar,Middle East,dairy cow,Dairy & eggs,1650,50,BAU,2
Republic of Korea,Eastern Asia,dairy cow,Dairy & eggs,65348,6227,BAU,2
Republic of Moldova,East Europe and CIS,dairy cow,Dairy & eggs,42635,21989,BAU,2
R'union,Eastern Africa,dairy cow,Dairy & eggs,8248,152,BAU,2
Russian Federation,East Europe and CIS,dairy cow,Dairy & eggs,2463642,2768,BAU,2
Rwanda,Eastern Africa,dairy cow,Dairy & eggs,90091,144,BAU,2
Saint Lucia,Central America,dairy cow,Dairy & eggs,254,5701,BAU,2
Saint Vincent and the Grenadines,Caribbean,dairy cow,Dairy & eggs,317,3720,BAU,2
Samoa,Small Island Nations,dairy cow,Dairy & eggs,476,720,BAU,2
Sao Tome and Principe,Central Africa,dairy cow,Dairy & eggs,327,214943,BAU,2
Saudi Arabia,Middle East,dairy cow,Dairy & eggs,79306,7860,BAU,2
Senegal,Western Africa,dairy cow,Dairy & eggs,255682,22,BAU,2
Seychelles,Eastern Africa,dairy cow,Dairy & eggs,7,28,BAU,2
Sierra Leone,Western Africa,dairy cow,Dairy & eggs,37750,42,BAU,2
Solomon Islands,Small Island Nations,dairy cow,Dairy & eggs,698,29,BAU,2
Somalia,Eastern Africa,dairy cow,Dairy & eggs,391770,6919,BAU,2
South Africa,Southern Africa,dairy cow,Dairy & eggs,317223,22307,BAU,2
South Sudan,Eastern Africa,dairy cow,Dairy & eggs,2379173,1,BAU,2
Sri Lanka,Southern Asia,dairy cow,Dairy & eggs,94989,3293,BAU,2
Sudan,Northern Africa,dairy cow,Dairy & eggs,4694901,61,BAU,2
Suriname,South America,dairy cow,Dairy & eggs,634,34180,BAU,2
Swaziland,Southern Africa,dairy cow,Dairy & eggs,46632,27676,BAU,2
Syrian Arab Republic,Middle East,dairy cow,Dairy & eggs,196143,207573,BAU,2
Tajikistan,East Europe and CIS,dairy cow,Dairy & eggs,330662,8287,BAU,2
Thailand,Southern Asia,dairy cow,Dairy & eggs,115786,409612,BAU,2
Togo,Western Africa,dairy cow,Dairy & eggs,18082,55,BAU,2
Tonga,Small Island Nations,dairy cow,Dairy & eggs,82,4068,BAU,2
Trinidad and Tobago,Caribbean,dairy cow,Dairy & eggs,4441,17113,BAU,2
Tunisia,Northern Africa,dairy cow,Dairy & eggs,199216,28849,BAU,2
Turkey,Middle East,dairy cow,Dairy & eggs,1778756,10102,BAU,2
Turkmenistan,East Europe and CIS,dairy cow,Dairy & eggs,317223,1578,BAU,2
Uganda,Eastern Africa,dairy cow,Dairy & eggs,1094420,7,BAU,2
Ukraine,East Europe and CIS,dairy cow,Dairy & eggs,798165,387,BAU,2
United Arab Emirates,Middle East,dairy cow,Dairy & eggs,12054,17381,BAU,2
United Republic of Tanzania,Eastern Africa,dairy cow,Dairy & eggs,2204700,155189,BAU,2
United States Virgin Islands,Caribbean,dairy cow,Dairy & eggs,263,27676,BAU,2
Uruguay,South America,dairy cow,Dairy & eggs,241090,95484,BAU,2
Uzbekistan,East Europe and CIS,dairy cow,Dairy & eggs,1274317,69637,BAU,2
Vanuatu,Small Island Nations,dairy cow,Dairy & eggs,4758,1052,BAU,2
Venezuela (Bolivarian Republic of),South America,dairy cow,Dairy & eggs,682347,192351,BAU,2
Viet Nam,Southern Asia,dairy cow,Dairy & eggs,48218,23,BAU,2
Wallis and Futuna Islands,Small Island Nations,dairy cow,Dairy & eggs,10,21034,BAU,2
Yemen,Middle East,dairy cow,Dairy & eggs,131648,111179,BAU,2
Zambia,Eastern Africa,dairy cow,Dairy & eggs,93581,415,BAU,2
Zimbabwe,Eastern Africa,dairy cow,Dairy & eggs,293431,59532,BAU,2
Albania,Europe,dairy cow,Dairy & eggs,94378,8915,Mixed,2
Australia,Australia,dairy cow,Dairy & eggs,460436,43492,Mixed,2
Austria,Europe,dairy cow,Dairy & eggs,143248,13531,Mixed,2
Belgium,Europe,dairy cow,Dairy & eggs,125535,11858,Mixed,2
Bermuda,USA,dairy cow,Dairy & eggs,109,10,Mixed,2
Bosnia and Herzegovina,Europe,dairy cow,Dairy & eggs,68436,6464,Mixed,2
Bulgaria,Europe,dairy cow,Dairy & eggs,78748,7438,Mixed,2
Canada,Canada,dairy cow,Dairy & eggs,261947,24743,Mixed,2
Croatia,Europe,dairy cow,Dairy & eggs,45271,4276,Mixed,2
Czech Republic,Europe,dairy cow,Dairy & eggs,101656,9602,Mixed,2
Denmark,Europe,dairy cow,Dairy & eggs,158816,15002,Mixed,2
Estonia,Europe,dairy cow,Dairy & eggs,26645,2517,Mixed,2
Finland,Europe,dairy cow,Dairy & eggs,77211,7293,Mixed,2
France,Europe,dairy cow,Dairy & eggs,1008309,95244,Mixed,2
Germany,Europe,dairy cow,Dairy & eggs,1163862,109937,Mixed,2
Greece,Europe,dairy cow,Dairy & eggs,57762,5456,Mixed,2
Hungary,Europe,dairy cow,Dairy & eggs,69816,6595,Mixed,2
Iceland,Europe,dairy cow,Dairy & eggs,6224,588,Mixed,2
Ireland,Europe,dairy cow,Dairy & eggs,317228,29965,Mixed,2
Italy,Europe,dairy cow,Dairy & eggs,547894,51754,Mixed,2
Latvia,Europe,dairy cow,Dairy & eggs,44999,4251,Mixed,2
Liechtenstein,Europe,dairy cow,Dairy & eggs,644,61,Mixed,2
Lithuania,Europe,dairy cow,Dairy & eggs,86098,8133,Mixed,2
Luxembourg,Europe,dairy cow,Dairy & eggs,11553,1091,Mixed,2
Malta,Europe,dairy cow,Dairy & eggs,1754,166,Mixed,2
Montenegro,Europe,dairy cow,Dairy & eggs,16636,1571,Mixed,2
Netherlands,Europe,dairy cow,Dairy & eggs,435534,41140,Mixed,2
New Caledonia,Small Island Nations,dairy cow,Dairy & eggs,144,14,Mixed,2
New Zealand,New Zealand,dairy cow,Dairy & eggs,1304760,123247,Mixed,2
Norway,Europe,dairy cow,Dairy & eggs,62195,5875,Mixed,2
Poland,Europe,dairy cow,Dairy & eggs,643782,60811,Mixed,2
Portugal,Europe,dairy cow,Dairy & eggs,67198,6347,Mixed,2
Romania,Europe,dairy cow,Dairy & eggs,317091,29952,Mixed,2
Serbia,Europe,dairy cow,Dairy & eggs,121885,11513,Mixed,2
Slovakia,Europe,dairy cow,Dairy & eggs,40851,3859,Mixed,2
Slovenia,Europe,dairy cow,Dairy & eggs,30278,2860,Mixed,2
Spain,Europe,dairy cow,Dairy & eggs,233666,22072,Mixed,2
Sweden,Europe,dairy cow,Dairy & eggs,93821,8862,Mixed,2
Switzerland,Europe,dairy cow,Dairy & eggs,160858,15194,Mixed,2
The former Yugoslav Republic of Macedonia,Europe,dairy cow,Dairy & eggs,34504,3259,Mixed,2
United Kingdom,Europe,dairy cow,Dairy & eggs,490078,46292,Mixed,2
United States of America,USA,dairy cow,Dairy & eggs,2513905,237461,Mixed,2
Afghanistan,Middle East,dairy cow,Dairy & eggs,1273959,112537,Mixed,2
Algeria,Northern Africa,dairy cow,Dairy & eggs,321643,28413,Mixed,2
American Samoa,Small Island Nations,dairy cow,Dairy & eggs,10,1,Mixed,2
Angola,Central Africa,dairy cow,Dairy & eggs,107214,9471,Mixed,2
Antigua and Barbuda,Caribbean,dairy cow,Dairy & eggs,1987,175,Mixed,2
Argentina,South America,dairy cow,Dairy & eggs,691533,61087,Mixed,2
Armenia,East Europe and CIS,dairy cow,Dairy & eggs,95634,8448,Mixed,2
Azerbaijan,Middle East,dairy cow,Dairy & eggs,410431,36256,Mixed,2
Bahamas,Caribbean,dairy cow,Dairy & eggs,233,21,Mixed,2
Bahrain,Middle East,dairy cow,Dairy & eggs,1545,136,Mixed,2
Bangladesh,Middle East,dairy cow,Dairy & eggs,1285627,113567,Mixed,2
Barbados,Caribbean,dairy cow,Dairy & eggs,1041,92,Mixed,2
Belarus,East Europe and CIS,dairy cow,Dairy & eggs,479091,42321,Mixed,2
Belize,Central America,dairy cow,Dairy & eggs,1577,139,Mixed,2
Benin,Western Africa,dairy cow,Dairy & eggs,79465,7020,Mixed,2
Bhutan,Middle East,dairy cow,Dairy & eggs,47300,4178,Mixed,2
Bolivia (Plurinational State of),South America,dairy cow,Dairy & eggs,59599,5265,Mixed,2
Botswana,Southern Africa,dairy cow,Dairy & eggs,104061,9192,Mixed,2
Brazil,South America,dairy cow,Dairy & eggs,7238403,639413,Mixed,2
British Virgin Islands,Caribbean,dairy cow,Dairy & eggs,0,0,Mixed,2
Brunei Darussalam,Southern Asia,dairy cow,Dairy & eggs,32,3,Mixed,2
Burkina Faso,Western Africa,dairy cow,Dairy & eggs,383549,33881,Mixed,2
Burundi,Eastern Africa,dairy cow,Dairy & eggs,37840,3343,Mixed,2
Cabo Verde,Western Africa,dairy cow,Dairy & eggs,2023,179,Mixed,2
Cambodia,Southern Asia,dairy cow,Dairy & eggs,43516,3844,Mixed,2
Cameroon,Central Africa,dairy cow,Dairy & eggs,102484,9053,Mixed,2
Central African Republic,Central Africa,dairy cow,Dairy & eggs,91448,8078,Mixed,2
Chad,Central Africa,dairy cow,Dairy & eggs,232403,20530,Mixed,2
Chile,South America,dairy cow,Dairy & eggs,321643,28413,Mixed,2
"China, Hong Kong SAR",Eastern Asia,dairy cow,Dairy & eggs,0,0,Mixed,2
"China, mainland",China,dairy cow,Dairy & eggs,3815571,337053,Mixed,2
"China, Taiwan Province of",China,dairy cow,Dairy & eggs,18651,1648,Mixed,2
Colombia,South America,dairy cow,Dairy & eggs,1683897,148749,Mixed,2
Comoros,Eastern Africa,dairy cow,Dairy & eggs,3311,292,Mixed,2
Congo,Central Africa,dairy cow,Dairy & eggs,851,75,Mixed,2
Costa Rica,Central America,dairy cow,Dairy & eggs,248170,21922,Mixed,2
Cote d'Ivoire,Western Africa,dairy cow,Dairy & eggs,90749,8016,Mixed,2
Cuba,Caribbean,dairy cow,Dairy & eggs,126229,11151,Mixed,2
Cyprus,Western Asia,dairy cow,Dairy & eggs,7742,684,Mixed,2
Democratic People's Republic of Korea,Eastern Asia,dairy cow,Dairy & eggs,13244,1170,Mixed,2
Democratic Republic of the Congo,Central Africa,dairy cow,Dairy & eggs,2901,256,Mixed,2
Djibouti,Eastern Africa,dairy cow,Dairy & eggs,8356,738,Mixed,2
Dominica,Caribbean,dairy cow,Dairy & eggs,2523,223,Mixed,2
Dominican Republic,Caribbean,dairy cow,Dairy & eggs,138748,12256,Mixed,2
Ecuador,South America,dairy cow,Dairy & eggs,398585,35210,Mixed,2
Egypt,Northern Africa,dairy cow,Dairy & eggs,499020,44082,Mixed,2
El Salvador,Central America,dairy cow,Dairy & eggs,88610,7827,Mixed,2
Eritrea,Eastern Africa,dairy cow,Dairy & eggs,224520,19833,Mixed,2
Ethiopia,Eastern Africa,dairy cow,Dairy & eggs,3437168,303626,Mixed,2
