Country,Country.Region,ID,animals,Taxon,Current_onfeed,mean_wheat,mean_corn,mean_soy,mean_rs,mean_pulses,mean_barley,mean_cv
Romania,Europe,Europe_hen,hen,Dairy & eggs,613182,325048,307940,701419,0,0,17108,0
Saint Pierre and Miquelon,Canada,Canada_hen,hen,Dairy & eggs,82,43,41,94,0,0,2,0
Serbia,Europe,Europe_hen,hen,Dairy & eggs,132517,70247,66550,151586,0,0,3697,0
Slovakia,Europe,Europe_hen,hen,Dairy & eggs,86094,45639,43237,98483,0,0,2402,0
Slovenia,Europe,Europe_hen,hen,Dairy & eggs,15647,8295,7858,17899,0,0,437,0
Spain,Europe,Europe_hen,hen,Dairy & eggs,610422,323584,306554,698261,0,0,17031,0
Sweden,Europe,Europe_hen,hen,Dairy & eggs,94977,50347,47697,108644,0,0,2650,0
Switzerland,Europe,Europe_hen,hen,Dairy & eggs,34178,18118,17164,39096,0,0,954,0
The former Yugoslav Republic of Macedonia,Europe,Europe_hen,hen,Dairy & eggs,16959,8990,8517,19400,0,0,473,0
United Kingdom,Europe,Europe_hen,hen,Dairy & eggs,629499,333697,316134,720084,0,0,17563,0
United States of America,USA,USA_hen,hen,Dairy & eggs,4819033,2554570,2420119,5512492,0,0,134451,0
Albania,Europe,Europe_marine fish,marine fish,Seafood,594,409,55,191,27,0,0,0
Australia,Australia,Australia_marine fish,marine fish,Seafood,53310,36704,4894,17129,2447,0,0,0
Bosnia and Herzegovina,Europe,Europe_marine fish,marine fish,Seafood,180,124,17,58,8,0,0,0
Canada,Canada,Canada_marine fish,marine fish,Seafood,92577,63739,8499,29745,4249,0,0,0
Croatia,Europe,Europe_marine fish,marine fish,Seafood,8595,5918,789,2762,395,0,0,0
Denmark,Europe,Europe_marine fish,marine fish,Seafood,15835,10902,1454,5088,727,0,0,0
Faroe Islands,Europe,Europe_marine fish,marine fish,Seafood,86454,59524,7936,27778,3968,0,0,0
France,Europe,Europe_marine fish,marine fish,Seafood,5990,4124,550,1925,275,0,0,0
Greece,Europe,Europe_marine fish,marine fish,Seafood,85889,59135,7885,27596,3942,0,0,0
Iceland,Europe,Europe_marine fish,marine fish,Seafood,7686,5292,706,2470,353,0,0,0
Ireland,Europe,Europe_marine fish,marine fish,Seafood,9368,6450,860,3010,430,0,0,0
Italy,Europe,Europe_marine fish,marine fish,Seafood,13492,9289,1239,4335,619,0,0,0
Malta,Europe,Europe_marine fish,marine fish,Seafood,4917,3385,451,1580,226,0,0,0
Montenegro,Europe,Europe_marine fish,marine fish,Seafood,83,57,8,27,4,0,0,0
Netherlands,Europe,Europe_marine fish,marine fish,Seafood,120,83,11,39,6,0,0,0
New Caledonia,Island nation,Other_marine fish,marine fish,Seafood,0,0,0,0,0,0,0,0
New Zealand,New Zealand,New Zealand_marine fish,marine fish,Seafood,9756,6866,1045,2985,448,0,0,0
Norway,Europe,Europe_marine fish,marine fish,Seafood,1330406,915984,122131,427459,61066,0,0,0
Portugal,Europe,Europe_marine fish,marine fish,Seafood,5736,3949,527,1843,263,0,0,0
Romania,Europe,Europe_marine fish,marine fish,Seafood,16,11,1,5,1,0,0,0
Slovenia,Europe,Europe_marine fish,marine fish,Seafood,66,45,6,21,3,0,0,0
Spain,Europe,Europe_marine fish,marine fish,Seafood,44002,30296,4039,14138,2020,0,0,0
Sweden,Europe,Europe_marine fish,marine fish,Seafood,2493,1716,229,801,114,0,0,0
United Kingdom,Europe,Europe_marine fish,marine fish,Seafood,181620,125045,16673,58355,8336,0,0,0
United States of America,USA,USA_marine fish,marine fish,Seafood,21219,14609,1948,6818,974,0,0,0
Serbia and Montenegro,Europe,Europe_marine fish,marine fish,Seafood,0,0,0,0,0,0,0,0
Germany,Europe,Europe_marine fish,marine fish,Seafood,20,14,2,6,1,0,0,0
Finland,Europe,Europe_marine fish,marine fish,Seafood,11503,7920,1056,3696,528,0,0,0
Australia,Australia,Australia_marine crustacean,marine crustacean,Seafood,3774,1987,265,927,132,0,0,0
France,Europe,Europe_marine crustacean,marine crustacean,Seafood,40,21,3,10,1,0,0,0
Greece,Europe,Europe_marine crustacean,marine crustacean,Seafood,0,0,0,0,0,0,0,0
Italy,Europe,Europe_marine crustacean,marine crustacean,Seafood,8,4,1,2,0,0,0,0
New Caledonia,Island nation,Other_marine crustacean,marine crustacean,Seafood,1636,632,517,555,19,0,0,0
Portugal,Europe,Europe_marine crustacean,marine crustacean,Seafood,5,3,0,1,0,0,0,0
Spain,Europe,Europe_marine crustacean,marine crustacean,Seafood,159,84,11,39,6,0,0,0
Turks and Caicos Islands,Caribbean,Caribbean_marine crustacean,marine crustacean,Seafood,0,0,0,0,0,0,0,0
United States of America,USA,USA_marine crustacean,marine crustacean,Seafood,2209,1163,155,543,78,0,0,0
Northern Mariana Is.,USA,USA_marine crustacean,marine crustacean,Seafood,23,12,2,6,1,0,0,0
Albania,Europe,Europe_fw fish,fw fish,Seafood,330,181,24,85,12,89,0,0
Australia,Australia,Australia_fw fish,fw fish,Seafood,846,464,62,217,31,227,0,0
Austria,Europe,Europe_fw fish,fw fish,Seafood,3379,1855,247,866,124,907,0,0
Belgium,Europe,Europe_fw fish,fw fish,Seafood,214,117,16,55,8,57,0,0
Bosnia and Herzegovina,Europe,Europe_fw fish,fw fish,Seafood,3177,1744,233,814,116,853,0,0
Bulgaria,Europe,Europe_fw fish,fw fish,Seafood,6983,3834,511,1789,256,1874,0,0
Canada,Canada,Canada_fw fish,fw fish,Seafood,8682,4766,636,2224,318,2330,0,0
Croatia,Europe,Europe_fw fish,fw fish,Seafood,3095,1699,227,793,113,831,0,0
Czechia,Europe,Europe_fw fish,fw fish,Seafood,19693,10811,1442,5045,721,5286,0,0
Denmark,Europe,Europe_fw fish,fw fish,Seafood,21654,11888,1585,5548,793,5812,0,0
Estonia,Europe,Europe_fw fish,fw fish,Seafood,873,479,64,224,32,234,0,0
Finland,Europe,Europe_fw fish,fw fish,Seafood,1962,1077,144,503,72,527,0,0
France,Europe,Europe_fw fish,fw fish,Seafood,43500,23882,3184,11145,1592,11675,0,0
Germany,Europe,Europe_fw fish,fw fish,Seafood,20652,11338,1512,5291,756,5543,0,0
Greece,Europe,Europe_fw fish,fw fish,Seafood,1947,1069,142,499,71,522,0,0
Hungary,Europe,Europe_fw fish,fw fish,Seafood,13830,7593,1012,3543,506,3712,0,0
Iceland,Europe,Europe_fw fish,fw fish,Seafood,604,331,44,155,22,162,0,0
Ireland,Europe,Europe_fw fish,fw fish,Seafood,886,486,65,227,32,238,0,0
Italy,Europe,Europe_fw fish,fw fish,Seafood,34850,19132,2551,8928,1275,9354,0,0
Latvia,Europe,Europe_fw fish,fw fish,Seafood,686,377,50,176,25,184,0,0
Lithuania,Europe,Europe_fw fish,fw fish,Seafood,3739,2053,274,958,137,1003,0,0
The former Yugoslav Republic of Macedonia,Europe,Europe_fw fish,fw fish,Seafood,1214,666,89,311,44,326,0,0
Republic of Moldova,Europe,Europe_fw fish,fw fish,Seafood,3306,1815,242,847,121,887,0,0
Montenegro,Europe,Europe_fw fish,fw fish,Seafood,597,328,44,153,22,160,0,0
Netherlands,Europe,Europe_fw fish,fw fish,Seafood,5555,3050,407,1423,203,1491,0,0
New Zealand,New Zealand,New Zealand_fw fish,fw fish,Seafood,1084,608,93,264,40,278,0,0
Northern Mariana Is.,USA,USA_fw fish,fw fish,Seafood,19,10,1,5,1,5,0,0
Norway,Europe,Europe_fw fish,fw fish,Seafood,76,41,6,19,3,20,0,0
Poland,Europe,Europe_fw fish,fw fish,Seafood,39739,21817,2909,10181,1454,10666,0,0
Portugal,Europe,Europe_fw fish,fw fish,Seafood,752,413,55,193,28,202,0,0
Romania,Europe,Europe_fw fish,fw fish,Seafood,6456,3545,473,1654,236,1733,0,0
Serbia,Europe,Europe_fw fish,fw fish,Seafood,6635,3643,486,1700,243,1781,0,0
Serbia and Montenegro,Europe,Europe_fw fish,fw fish,Seafood,0,0,0,0,0,0,0,0
Slovakia,Europe,Europe_fw fish,fw fish,Seafood,1224,672,90,314,45,329,0,0
Slovenia,Europe,Europe_fw fish,fw fish,Seafood,901,494,66,231,33,242,0,0
Spain,Europe,Europe_fw fish,fw fish,Seafood,15531,8526,1137,3979,568,4168,0,0
Sweden,Europe,Europe_fw fish,fw fish,Seafood,8659,4754,634,2218,317,2324,0,0
Switzerland,Europe,Europe_fw fish,fw fish,Seafood,1593,875,117,408,58,428,0,0
United Kingdom,Europe,Europe_fw fish,fw fish,Seafood,11469,6296,840,2938,420,3078,0,0
United States of America,USA,USA_fw fish,fw fish,Seafood,176372,96828,12910,45187,6455,47338,0,0
US Virgin Islands,USA,USA_fw fish,fw fish,Seafood,8,4,1,2,0,2,0,0
Australia,Australia,Australia_fw crustacean,fw crustacean,Seafood,131,105,14,49,7,51,0,0
Austria,Europe,Europe_fw crustacean,fw crustacean,Seafood,0,0,0,0,0,0,0,0
Bulgaria,Europe,Europe_fw crustacean,fw crustacean,Seafood,17,14,2,7,1,7,0,0
Estonia,Europe,Europe_fw crustacean,fw crustacean,Seafood,0,0,0,0,0,0,0,0
Italy,Europe,Europe_fw crustacean,fw crustacean,Seafood,8,6,1,3,0,3,0,0
Latvia,Europe,Europe_fw crustacean,fw crustacean,Seafood,0,0,0,0,0,0,0,0
Republic of Moldova,Europe,Europe_fw crustacean,fw crustacean,Seafood,20,16,2,8,1,8,0,0
New Caledonia,Island nation,Other_fw crustacean,fw crustacean,Seafood,3,2,1,2,0,0,0,0
Poland,Europe,Europe_fw crustacean,fw crustacean,Seafood,0,0,0,0,0,0,0,0
Spain,Europe,Europe_fw crustacean,fw crustacean,Seafood,4,3,0,1,0,1,0,0
Sweden,Europe,Europe_fw crustacean,fw crustacean,Seafood,1,1,0,0,0,0,0,0
United States of America,USA,USA_fw crustacean,fw crustacean,Seafood,60925,49075,6543,22902,3272,23992,0,0
Albania,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Australia,Australia,Australia_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Bulgaria,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Canada,Canada,Canada_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Channel Islands,USA,USA_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Croatia,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Denmark,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
France,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Germany,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Greece,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Iceland,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Ireland,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Italy,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Montenegro,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Netherlands,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
New Caledonia,Island nation,Other_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
New Zealand,New Zealand,New Zealand_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Norway,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Portugal,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Romania,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Serbia and Montenegro,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Slovenia,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Spain,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Canada,Canada_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Sweden,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Turks and Caicos Islands,Caribbean,Caribbean_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
United Kingdom,Europe,Europe_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
United States of America,USA,USA_mollusc,mollusc,seafood,0,0,0,0,0,0,0,0
Afghanistan,Middle East,Middle East_beef,beef,Meat,72360,0,264787,0,49263,92368,0,0
Algeria,Northern Africa,Northern Africa_beef,beef,Meat,75572,0,276540,0,51449,96468,0,0
American Samoa,Island nation,Other_beef,beef,Meat,3,0,10,0,2,4,0,0
Angola,Central Africa,Central Africa_beef,beef,Meat,46376,0,169704,0,31573,59199,0,0
Antigua and Barbuda,Caribbean,Caribbean_beef,beef,Meat,108,0,394,0,73,137,0,0
Argentina,South America,South America_beef,beef,Meat,1806080,0,6608989,0,1229579,2305461,0,0
Armenia,East Europe and CIS,Other_beef,beef,Meat,33768,0,123567,0,22989,43105,0,0
Azerbaijan,Middle East,Middle East_beef,beef,Meat,66419,0,243047,0,45218,84784,0,0
Bahamas,Caribbean,Caribbean_beef,beef,Meat,12,0,45,0,8,16,0,0
Bahrain,Middle East,Middle East_beef,beef,Meat,557,0,2039,0,379,711,0,0
Bangladesh,Middle East,Southern Asia_beef,beef,Meat,104760,0,383348,0,71321,133726,0,0
Barbados,Caribbean,Caribbean_beef,beef,Meat,110,0,404,0,75,141,0,0
Belarus,East Europe and CIS,Other_beef,beef,Meat,198891,0,727802,0,135405,253884,0,0
Belize,Central America,Central America_beef,beef,Meat,1183,0,4328,0,805,1510,0,0
Benin,Western Africa,Western Africa_beef,beef,Meat,13794,0,50476,0,9391,17608,0,0
Bhutan,Middle East,Middle East_beef,beef,Meat,2754,0,10078,0,1875,3515,0,0
Bolivia (Plurinational State of),South America,South America_beef,beef,Meat,139347,0,509913,0,94868,177877,0,0
Botswana,Southern Africa,Southern Africa_beef,beef,Meat,20680,0,75674,0,14079,26398,0,0
Brazil,South America,South America_beef,beef,Meat,6192000,0,22658386,0,4215514,7904088,0,0
British Virgin Islands,Caribbean,Caribbean_beef,beef,Meat,96,0,351,0,65,122,0,0
Brunei Darussalam,Southern Asia,Southern Asia_beef,beef,Meat,693,0,2537,0,472,885,0,0
Burkina Faso,Western Africa,Western Africa_beef,beef,Meat,33370,0,122113,0,22719,42597,0,0
Burundi,Eastern Africa,Eastern Africa_beef,beef,Meat,3987,0,14589,0,2714,5089,0,0
Cote d'Ivoire,Western Africa,Western Africa_beef,beef,Meat,14007,0,51257,0,9536,17880,0,0
Cabo Verde,Western Africa,Western Africa_beef,beef,Meat,240,0,879,0,164,307,0,0
Cambodia,Southern Asia,Southern Asia_beef,beef,Meat,57876,0,211786,0,39402,73879,0,0
Cameroon,Central Africa,Central Africa_beef,beef,Meat,56320,0,206092,0,38343,71892,0,0
Central African Republic,Central Africa,Central Africa_beef,beef,Meat,39600,0,144908,0,26960,50549,0,0
Chad,Central Africa,Central Africa_beef,beef,Meat,43296,0,158433,0,29476,55267,0,0
Chile,South America,South America_beef,beef,Meat,132022,0,483110,0,89881,168527,0,0
"China, Hong Kong SAR",Eastern Asia,Eastern Asia_beef,beef,Meat,7110,0,26018,0,4840,9076,0,0
"China, Macao SAR",Eastern Asia,Eastern Asia_beef,beef,Meat,720,0,2635,0,490,919,0,0
"China, mainland",China,China_beef,beef,Meat,5754150,0,21056161,0,3917425,7345172,0,0
"China, Taiwan Province of",China,China_beef,beef,Meat,5400,0,19760,0,3676,6893,0,0
Colombia,South America,South America_beef,beef,Meat,542982,0,1986933,0,369662,693116,0,0
Comoros,Eastern Africa,Eastern Africa_beef,beef,Meat,557,0,2037,0,379,710,0,0
Congo,Central Africa,Central Africa_beef,beef,Meat,2883,0,10549,0,1963,3680,0,0
Cook Islands,Island nation,Other_beef,beef,Meat,3,0,10,0,2,4,0,0
Costa Rica,Central America,Central America_beef,beef,Meat,54421,0,199143,0,37050,69469,0,0
Cuba,Caribbean,Caribbean_beef,beef,Meat,46161,0,168917,0,31426,58925,0,0
Cyprus,Western Asia,Western Asia_beef,beef,Meat,1884,0,6894,0,1283,2405,0,0
Democratic People's Republic of Korea,Eastern Asia,Eastern Asia_beef,beef,Meat,19778,0,72372,0,13465,25246,0,0
Democratic Republic of the Congo,Central Africa,Central Africa_beef,beef,Meat,5368,0,19643,0,3655,6852,0,0
Djibouti,Eastern Africa,Eastern Africa_beef,beef,Meat,2662,0,9741,0,1812,3398,0,0
Dominica,Caribbean,Caribbean_beef,beef,Meat,397,0,1454,0,271,507,0,0
Dominican Republic,Caribbean,Caribbean_beef,beef,Meat,69451,0,254143,0,47282,88655,0,0
Ecuador,South America,South America_beef,beef,Meat,166720,0,610078,0,113503,212818,0,0
Egypt,Northern Africa,Northern Africa_beef,beef,Meat,254880,0,932682,0,173522,325354,0,0
El Salvador,Central America,Central America_beef,beef,Meat,11784,0,43120,0,8022,15042,0,0
Equatorial Guinea,Central Africa,Central Africa_beef,beef,Meat,22,0,81,0,15,28,0,0
Eritrea,Eastern Africa,Eastern Africa_beef,beef,Meat,10560,0,38642,0,7189,13480,0,0
Ethiopia,Eastern Africa,Eastern Africa_beef,beef,Meat,149930,0,548639,0,102072,191386,0,0
Falkland Islands (Malvinas),South America,South America_beef,beef,Meat,100,0,368,0,68,128,0,0
Fiji,Island nation,Other_beef,beef,Meat,5244,0,19189,0,3570,6694,0,0
French Guiana,South America,South America_beef,beef,Meat,227,0,831,0,155,290,0,0
French Polynesia,Island nation,Other_beef,beef,Meat,90,0,328,0,61,115,0,0
Gabon,Central Africa,Central Africa_beef,beef,Meat,511,0,1871,0,348,653,0,0
Gambia,Western Africa,Western Africa_beef,beef,Meat,1637,0,5990,0,1114,2089,0,0
Georgia,Western Asia,Western Asia_beef,beef,Meat,10908,0,39916,0,7426,13924,0,0
Ghana,Western Africa,Western Africa_beef,beef,Meat,9620,0,35201,0,6549,12280,0,0
Grenada,Caribbean,Caribbean_beef,beef,Meat,97,0,353,0,66,123,0,0
Guadeloupe,Caribbean,Caribbean_beef,beef,Meat,2070,0,7575,0,1409,2642,0,0
Guam,Island nation,Other_beef,beef,Meat,6,0,20,0,4,7,0,0
Guatemala,Central America,Central America_beef,beef,Meat,53376,0,195319,0,36338,68134,0,0
Guinea,Western Africa,Western Africa_beef,beef,Meat,24662,0,90246,0,16790,31481,0,0
Guinea-Bissau,Western Africa,Western Africa_beef,beef,Meat,2952,0,10804,0,2010,3769,0,0
Guyana,South America,South America_beef,beef,Meat,1448,0,5297,0,986,1848,0,0
Haiti,Caribbean,Caribbean_beef,beef,Meat,32085,0,117409,0,21843,40957,0,0
Honduras,Central America,Central America_beef,beef,Meat,40320,0,147543,0,27450,51468,0,0
India,Southern Asia,Southern Asia_beef,beef,Meat,879583,0,3218659,0,598820,1122788,0,0
Indonesia,Southern Asia,Southern Asia_beef,beef,Meat,496515,0,1816898,0,338027,633802,0,0
Iran (Islamic Republic of),Middle East,Middle East_beef,beef,Meat,134460,0,492029,0,91540,171638,0,0
Iraq,Middle East,Middle East_beef,beef,Meat,27702,0,101370,0,18860,35362,0,0
Israel,Middle East,Middle East_beef,beef,Meat,71409,0,261307,0,48615,91154,0,0
Jamaica,Caribbean,Caribbean_beef,beef,Meat,3864,0,14140,0,2631,4932,0,0
Japan,Eastern Asia,Eastern Asia_beef,beef,Meat,457208,0,1673062,0,311267,583626,0,0
Jordan,Western Asia,Western Asia_beef,beef,Meat,10692,0,39125,0,7279,13648,0,0
Kazakhstan,East Europe and CIS,Other_beef,beef,Meat,241585,0,884031,0,164471,308383,0,0
Kenya,Eastern Africa,Eastern Africa_beef,beef,Meat,187000,0,684289,0,127310,238706,0,0
Kiribati,Island nation,Other_beef,beef,Meat,0,0,0,0,0,0,0,0
Kuwait,Western Asia,Western Asia_beef,beef,Meat,1485,0,5434,0,1011,1896,0,0
Kyrgyzstan,East Europe and CIS,Other_beef,beef,Meat,62118,0,227308,0,42290,79294,0,0
Lao People's Democratic Republic,Southern Asia,Southern Asia_beef,beef,Meat,26044,0,95304,0,17731,33245,0,0
Lebanon,Middle East,Middle East_beef,beef,Meat,25674,0,93950,0,17479,32773,0,0
Lesotho,Southern Africa,Southern Africa_beef,beef,Meat,5940,0,21736,0,4044,7582,0,0
Liberia,Western Africa,Western Africa_beef,beef,Meat,501,0,1832,0,341,639,0,0
Libya,Northern Africa,Northern Africa_beef,beef,Meat,4806,0,17587,0,3272,6135,0,0
Madagascar,Eastern Africa,Eastern Africa_beef,beef,Meat,75735,0,277137,0,51560,96676,0,0
Malawi,Eastern Africa,Eastern Africa_beef,beef,Meat,16888,0,61799,0,11497,21558,0,0
Malaysia,Southern Asia,Southern Asia_beef,beef,Meat,24353,0,89116,0,16580,31087,0,0
Mali,Western Africa,Western Africa_beef,beef,Meat,74360,0,272106,0,50624,94921,0,0
Martinique,Caribbean,Caribbean_beef,beef,Meat,690,0,2525,0,470,881,0,0
Mauritania,Western Africa,Western Africa_beef,beef,Meat,12936,0,47337,0,8807,16513,0,0
Mauritius,Eastern Africa,Eastern Africa_beef,beef,Meat,1166,0,4267,0,794,1488,0,0
Mexico,Central America,Central America_beef,beef,Meat,1156325,0,4231341,0,787226,1476049,0,0
Micronesia (Federated States of),Island nation,Other_beef,beef,Meat,178,0,651,0,121,227,0,0
Mongolia,Eastern Asia,Eastern Asia_beef,beef,Meat,50792,0,185865,0,34579,64836,0,0
Montserrat,Caribbean,Caribbean_beef,beef,Meat,497,0,1818,0,338,634,0,0
Morocco,Northern Africa,Northern Africa_beef,beef,Meat,137160,0,501910,0,93379,175085,0,0
Mozambique,Eastern Africa,Eastern Africa_beef,beef,Meat,11220,0,41057,0,7639,14322,0,0
Myanmar,Southern Asia,Southern Asia_beef,beef,Meat,196560,0,719272,0,133818,250909,0,0
Namibia,Southern Africa,Southern Africa_beef,beef,Meat,15752,0,57641,0,10724,20107,0,0
Nauru,Island nation,Other_beef,beef,Meat,0,0,0,0,0,0,0,0
Nepal,Southern Asia,Southern Asia_beef,beef,Meat,47184,0,172659,0,32123,60230,0,0
Nicaragua,Central America,Central America_beef,beef,Meat,77240,0,282643,0,52585,98596,0,0
Niger,Western Africa,Western Africa_beef,beef,Meat,62832,0,229921,0,42776,80205,0,0
Nigeria,Western Africa,Western Africa_beef,beef,Meat,177320,0,648867,0,120719,226349,0,0
Niue,Island nation,Other_beef,beef,Meat,2,0,8,0,1,3,0,0
Occupied Palestinian Territory,Middle East,Middle East_beef,beef,Meat,4050,0,14820,0,2757,5170,0,0
Oman,Middle East,Middle East_beef,beef,Meat,11232,0,41101,0,7647,14338,0,0
Pakistan,Middle East,Middle East_beef,beef,Meat,439020,0,1606506,0,298885,560409,0,0
Panama,Central America,Central America_beef,beef,Meat,54336,0,198832,0,36992,69360,0,0
Papua New Guinea,Island nation,Other_beef,beef,Meat,2277,0,8332,0,1550,2907,0,0
Paraguay,South America,South America_beef,beef,Meat,239360,0,875890,0,162956,305543,0,0
Peru,South America,South America_beef,beef,Meat,121964,0,446303,0,83033,155687,0,0
Philippines,Southern Asia,Southern Asia_beef,beef,Meat,179959,0,658523,0,122516,229717,0,0
Puerto Rico,Central America,Central America_beef,beef,Meat,6592,0,24122,0,4488,8415,0,0
Qatar,Middle East,Middle East_beef,beef,Meat,267,0,978,0,182,341,0,0
R'union,Eastern Africa,Eastern Africa_beef,beef,Meat,691,0,2528,0,470,882,0,0
Republic of Korea,Eastern Asia,Eastern Asia_beef,beef,Meat,302400,0,1106572,0,205874,386014,0,0
Republic of Moldova,East Europe and CIS,Other_beef,beef,Meat,6111,0,22362,0,4160,7801,0,0
Russian Federation,East Europe and CIS,Other_beef,beef,Meat,1028953,0,3765246,0,700511,1313458,0,0
Rwanda,Eastern Africa,Eastern Africa_beef,beef,Meat,15540,0,56865,0,10580,19837,0,0
Saint Kitts and Nevis,Central America,Central America_beef,beef,Meat,61,0,222,0,41,78,0,0
Saint Lucia,Central America,Central America_beef,beef,Meat,291,0,1066,0,198,372,0,0
Saint Vincent and the Grenadines,Caribbean,Caribbean_beef,beef,Meat,141,0,518,0,96,181,0,0
Samoa,Island nation,Other_beef,beef,Meat,759,0,2777,0,517,969,0,0
Sao Tome and Principe,Central Africa,Central Africa_beef,beef,Meat,63,0,232,0,43,81,0,0
Saudi Arabia,Middle East,Middle East_beef,beef,Meat,28080,0,102753,0,19117,35844,0,0
Senegal,Western Africa,Western Africa_beef,beef,Meat,27995,0,102444,0,19059,35736,0,0
Seychelles,Eastern Africa,Eastern Africa_beef,beef,Meat,3,0,10,0,2,3,0,0
Sierra Leone,Western Africa,Western Africa_beef,beef,Meat,4435,0,16230,0,3019,5662,0,0
Singapore,Southern Asia,Southern Asia_beef,beef,Meat,46,0,166,0,31,58,0,0
Solomon Islands,Island nation,Other_beef,beef,Meat,511,0,1868,0,348,652,0,0
Somalia,Eastern Africa,Eastern Africa_beef,beef,Meat,26620,0,97411,0,18123,33980,0,0
South Africa,Southern Africa,Southern Africa_beef,beef,Meat,374440,0,1370188,0,254919,477973,0,0
South Sudan,Eastern Africa,Eastern Africa_beef,beef,Meat,93720,0,342950,0,63805,119634,0,0
Sri Lanka,Southern Asia,Southern Asia_beef,beef,Meat,22250,0,81418,0,15147,28401,0,0
Sudan,Northern Africa,Northern Africa_beef,beef,Meat,193320,0,707416,0,131612,246773,0,0
Suriname,South America,South America_beef,beef,Meat,1045,0,3824,0,712,1334,0,0
Swaziland,Southern Africa,Southern Africa_beef,beef,Meat,7524,0,27533,0,5122,9604,0,0
Syrian Arab Republic,Middle East,Middle East_beef,beef,Meat,37735,0,138084,0,25690,48169,0,0
Tajikistan,East Europe and CIS,Other_beef,beef,Meat,21798,0,79765,0,14840,27825,0,0
Thailand,Southern Asia,Southern Asia_beef,beef,Meat,145600,0,532794,0,99124,185858,0,0
Timor-Leste,Southern Asia,Southern Asia_beef,beef,Meat,1047,0,3829,0,712,1336,0,0
Togo,Western Africa,Western Africa_beef,beef,Meat,4318,0,15800,0,2940,5512,0,0
Tokelau,Island nation,Other_beef,beef,Meat,0,0,0,0,0,0,0,0
Tonga,Island nation,Other_beef,beef,Meat,255,0,934,0,174,326,0,0
Trinidad and Tobago,Caribbean,Caribbean_beef,beef,Meat,715,0,2616,0,487,912,0,0
Tunisia,Northern Africa,Northern Africa_beef,beef,Meat,30240,0,110657,0,20587,38601,0,0
Turkey,Middle East,Middle East_beef,beef,Meat,469418,0,1717740,0,319580,599212,0,0
Turkmenistan,East Europe and CIS,Other_beef,beef,Meat,92106,0,337043,0,62706,117573,0,0
Tuvalu,Island nation,Other_beef,beef,Meat,0,0,0,0,0,0,0,0
Uganda,Eastern Africa,Eastern Africa_beef,beef,Meat,87564,0,320421,0,59613,111775,0,0
Ukraine,East Europe and CIS,Other_beef,beef,Meat,269514,0,986233,0,183485,344035,0,0
United Arab Emirates,Middle East,Middle East_beef,beef,Meat,8640,0,31616,0,5882,11029,0,0
United Republic of Tanzania,Eastern Africa,Eastern Africa_beef,beef,Meat,131816,0,482353,0,89740,168263,0,0
United States Virgin Islands,Caribbean,Caribbean_beef,beef,Meat,380,0,1389,0,258,484,0,0
Uruguay,South America,South America_beef,beef,Meat,321920,0,1178002,0,219163,410931,0,0
Uzbekistan,East Europe and CIS,Other_beef,beef,Meat,512190,0,1874257,0,348699,653811,0,0
Vanuatu,Island nation,Other_beef,beef,Meat,2139,0,7827,0,1456,2730,0,0
Venezuela (Bolivarian Republic of),South America,South America_beef,beef,Meat,330303,0,1208679,0,224871,421632,0,0
Viet Nam,Southern Asia,Southern Asia_beef,beef,Meat,259714,0,950371,0,176813,331525,0,0
