Country,Country-Region,Animal,Farm_factor_wheat,Farm_factor_corn,Farm_factor_soy,Farm_factor_rapeseed,Farm_factor_pulses,Farm_factor_barley,Farm_factor_cassava
Norway,Europe,fw fish,0.2,0.2,0.3,0.4,0.2,4.5,0.1
Poland,Europe,fw fish,1.7,0.6,0.3,0.4,0.2,3.1,0
Portugal,Europe,fw fish,1,3.2,0.7,0.7,0.1,1.3,0.6
Romania,Europe,fw fish,0.8,6.6,0.2,0,0,0.7,0
Serbia,Europe,fw fish,0.9,7,0.3,0,0.2,0.9,0
Serbia and Montenegro,Europe,fw fish,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Slovakia,Europe,fw fish,5.9,5.1,0.4,0.5,0,0.1,0
Slovenia,Europe,fw fish,0.2,1.5,0.4,0.3,0,3.1,0
Spain,Europe,fw fish,1.6,1.6,0.6,0.4,0.1,5.7,0.2
Sweden,Europe,fw fish,3.6,0,0.4,0.8,0,7.5,0
Switzerland,Europe,fw fish,1.2,0.4,0.4,0.2,0,1.8,0.2
United Kingdom,Europe,fw fish,3.4,0,0.5,0.8,0.1,3.3,0.5
United States of America,USA,fw fish,0.3,2.3,0.8,0.2,0,0.2,0.6
US Virgin Islands,USA,fw fish,0.2,1.1,0.4,0.1,0,0.1,0.3
Australia,Australia,fw crustacean,1.8,0,0.2,0.2,0.2,2.6,0
Austria,Europe,fw crustacean,1.1,1.1,0.5,0.3,0.1,2.8,0
Bulgaria,Europe,fw crustacean,3.2,1.2,0.3,0,0,2.2,0.3
Estonia,Europe,fw crustacean,1.2,0.1,0.2,1.5,0,6.1,0
Italy,Europe,fw crustacean,0.8,2.2,0.6,0.1,0,1.5,0
Latvia,Europe,fw crustacean,3.5,0.1,0.3,0.5,0,4,0
Republic of Moldova,Europe,fw crustacean,2.3,6.6,0.1,0,0,2.8,0
New Caledonia,Island nation,fw crustacean,0.8,0.5,0.4,0,0,0.1,5.1
Poland,Europe,fw crustacean,1.7,0.6,0.3,0.4,0.2,3.1,0
Spain,Europe,fw crustacean,1.6,1.6,0.6,0.4,0.1,5.7,0.2
Sweden,Europe,fw crustacean,3.6,0,0.4,0.8,0,7.5,0
United States of America,USA,fw crustacean,0.3,2.3,0.8,0.2,0,0.2,0.6
Albania,Europe,mollusc,0.3,1.2,0.1,0,0,0.1,0
Australia,Australia,mollusc,1.8,0,0.2,0.2,0.2,2.6,0
Bosnia and Herzegovina,Europe,mollusc,3.9,1.5,0.3,0,0,1.6,0
Bulgaria,Europe,mollusc,3.2,1.2,0.3,0,0,2.2,0.3
Canada,Canada,mollusc,1.6,1.7,0.5,0.5,0,6.9,0.1
Channel Islands,USA,mollusc,0.2,1.1,0.4,0.1,0,0.1,0.3
Croatia,Europe,mollusc,1.4,6.6,0.7,0.2,0,2.4,0
Denmark,Europe,mollusc,2.9,0.1,0.6,0.6,0,4.2,0
France,Europe,mollusc,2.9,0.8,0.6,0.8,0,2.5,0.2
Germany,Europe,mollusc,1.8,0.6,0.4,0.6,0,2.8,0
Greece,Europe,mollusc,1.3,4,0.6,0.1,0,1.8,0.3
Iceland,Europe,mollusc,0.7,0.5,0.3,0,0,0.4,6.9
Ireland,Europe,mollusc,2,0.1,0.3,0.2,0,3.9,0
Italy,Europe,mollusc,0.8,2.2,0.6,0.1,0,1.5,0
Montenegro,Europe,mollusc,2.1,0.6,0,0,0,0,0
Netherlands,Europe,mollusc,2.1,1,0.6,1,0,2.2,0.5
New Caledonia,Island nation,mollusc,0.8,0.5,0.4,0,0,0.1,5.1
New Zealand,New Zealand,mollusc,0.4,0.1,0,0,0,0.3,0
Norway,Europe,mollusc,0.2,0.2,0.3,0.4,0.2,4.5,0.1
Portugal,Europe,mollusc,1,3.2,0.7,0.7,0.1,1.3,0.6
Romania,Europe,mollusc,0.8,6.6,0.2,0,0,0.7,0
Serbia and Montenegro,Europe,mollusc,1.9,1.7,0.4,0.5,0.1,3.2,0.5
Slovenia,Europe,mollusc,0.2,1.5,0.4,0.3,0,3.1,0
Spain,Europe,mollusc,1.6,1.6,0.6,0.4,0.1,5.7,0.2
Saint Pierre and Miquelon,Canada,mollusc,1.6,1.7,0.5,0.5,0,6.9,0.1
Sweden,Europe,mollusc,3.6,0,0.4,0.8,0,7.5,0
Turks and Caicos Islands,Caribbean,mollusc,0.6,1.6,0.3,0,0,0,18.2
United Kingdom,Europe,mollusc,3.4,0,0.5,0.8,0.1,3.3,0.5
United States of America,USA,mollusc,0.3,2.3,0.8,0.2,0,0.2,0.6
Afghanistan,Middle East,beef,0,0.2,0,0,0,0.5,0
Algeria,Northern Africa,beef,0.9,2.6,0.8,0.1,0,2,0
American Samoa,Island nation,beef,0,0.2,0.1,0,0,0,12.9
Angola,Central Africa,beef,0,0.5,0,0,0,0,2051.8
Antigua and Barbuda,Caribbean,beef,0,0.1,0,0,0,0,52
Argentina,South America,beef,0,0.4,0.7,0,0,0.1,6.6
Armenia,East Europe and CIS,beef,1.2,0.3,0.1,0,0,2.9,0
Azerbaijan,Middle East,beef,1.7,0.2,0.1,0,0,3,0
Bahamas,Caribbean,beef,0,0.1,0,0,0,0,0
Bahrain,Middle East,beef,1.5,1.2,0.5,1.4,0,6.9,0
Bangladesh,Middle East,beef,0,0.5,0.1,0.2,0,0,0
Barbados,Caribbean,beef,0.1,3.9,0.9,0,0,0,0.2
Belarus,East Europe and CIS,beef,1.9,0.8,0.2,0.3,0.2,5.4,0
Belize,Central America,beef,0,2.7,0.4,0,0,0,0
Benin,Western Africa,beef,0,3.4,0.1,0,0,0,6961.2
Bhutan,Middle East,beef,1.5,1.2,0.5,1.4,0,6.9,0
Bolivia (Plurinational State of),South America,beef,0,0.4,0.3,0,0,0.4,16.9
Botswana,Southern Africa,beef,0,0,0.1,0,0,0,0
Brazil,South America,beef,0.1,1,0.5,0,0,0,119.3
British Virgin Islands,Caribbean,beef,0.6,1.6,0.3,0,0,0,18.2
Brunei Darussalam,Southern Asia,beef,0,0,0,0,0,0,0
Burkina Faso,Western Africa,beef,0,0,0,0,0,0,0.2
Burundi,Eastern Africa,beef,0,0.9,0.1,0,0.1,0,229.2
Cote d'Ivoire,Western Africa,beef,0,0.3,0,0,0,0,462.9
Cabo Verde,Western Africa,beef,0,1.2,0.1,0,0,0,0
Cambodia,Southern Asia,beef,0,0.7,0.2,0,0,0,2.4
Cameroon,Central Africa,beef,0,1.4,0.1,0,0,0,817.5
Central African Republic,Central Africa,beef,0,0,0,0,0,0,0
Chad,Central Africa,beef,0,0.1,0,0,0,0,573.7
Chile,South America,beef,0.1,1,0.3,0.1,0,0.1,0
"China, Hong Kong SAR",Eastern Asia,beef,0,0.1,0.1,0,0,0,0.5
"China, Macao SAR",Eastern Asia,beef,0,0,0,0,0,0,0
"China, mainland",China,beef,0.4,1.5,0.3,0.5,0,0,9.3
"China, Taiwan Province of",China,beef,0.1,4,0.7,0.3,0,0.1,0.1
Colombia,South America,beef,0,0.8,0.3,0,0,0,1.8
Comoros,Eastern Africa,beef,0,0.9,0.1,0,0.1,0,229.2
Congo,Central Africa,beef,0,0,0.3,0,0,0,1.7
Cook Islands,Island nation,beef,0,0.2,0.1,0,0,0,12.9
Costa Rica,Central America,beef,0,1.2,0.4,0,0,0,0
Cuba,Caribbean,beef,0.7,1.6,0.6,0,0,0,26.9
Cyprus,Western Asia,beef,0.1,2.7,0.9,0,0,8.8,0
Democratic People's Republic of Korea,Eastern Asia,beef,0.1,0.6,0.5,0,0,0.1,0
Democratic Republic of the Congo,Central Africa,beef,0,0.6,0.1,0,0,0,597.5
Djibouti,Eastern Africa,beef,0,0.9,0.1,0,0.1,0,229.2
Dominica,Caribbean,beef,0,0,0,0,0,0,24.6
Dominican Republic,Caribbean,beef,1.4,1.8,0.6,0,0,0,0
Ecuador,South America,beef,0,0.6,0.5,0,0,0,0
Egypt,Northern Africa,beef,4,3.3,1,0,0.2,0.3,8.7
El Salvador,Central America,beef,0,4.1,0.4,0,0,0,0
Equatorial Guinea,Central Africa,beef,0,0.6,0.1,0,0,0,597.5
Eritrea,Eastern Africa,beef,0,0.9,0.1,0,0.1,0,229.2
Ethiopia,Eastern Africa,beef,0,0.3,0,0,0,0,0
Falkland Islands (Malvinas),South America,beef,0.2,0.8,0.5,0,0,0.1,31.2
Fiji,Island nation,beef,0,0,0.2,0,0,0,52.8
French Guiana,South America,beef,0.2,0.8,0.5,0,0,0.1,31.2
French Polynesia,Island nation,beef,0,1.3,0.2,0,0,0,22.5
Gabon,Central Africa,beef,0,2.1,0.2,0,0,0,737.7
Gambia,Western Africa,beef,0,0.9,0,0,0,0,0
Georgia,Western Asia,beef,1.2,0.8,0.1,0,0,0,0
Ghana,Western Africa,beef,0,3.1,0,0,0,0,5389.3
Grenada,Caribbean,beef,3.2,3.8,0.3,0,0.3,0,0
Guadeloupe,Caribbean,beef,0.6,1.6,0.3,0,0,0,18.2
Guam,Island nation,beef,0,0.2,0.1,0,0,0,12.9
Guatemala,Central America,beef,0,1.5,0.4,0,0,0,0
Guinea,Western Africa,beef,0,1.6,0,0,0,0,6.7
Guinea-Bissau,Western Africa,beef,0,0,0,0,0,0,0
Guyana,South America,beef,0.4,1.2,0.3,0,0,0,35.9
Haiti,Caribbean,beef,0,0.1,0,0,0,0,37.1
Honduras,Central America,beef,0.1,0.9,0.3,0,0,0,0
India,Southern Asia,beef,0.2,0.3,0.1,0.1,0.1,0,0
Indonesia,Southern Asia,beef,0,0.9,0.5,0.2,0,0,20.6
Iran (Islamic Republic of),Middle East,beef,0.4,2.1,0.5,0.3,0,6.4,0
Iraq,Middle East,beef,10,1.1,0,0,0,4.8,0
Israel,Middle East,beef,3.2,2.1,0.6,0.9,0,9.8,0.2
Jamaica,Caribbean,beef,0,3.4,0.6,0,0,0,32.6
Japan,Eastern Asia,beef,0.3,2.8,0.6,1.2,0,2.1,0
Jordan,Western Asia,beef,0,3.5,1,0,0,17.1,0
Kazakhstan,East Europe and CIS,beef,6,0.2,0.1,0,0,3.2,0
Kenya,Eastern Africa,beef,0,0.1,0,0,0,0,0
Kiribati,Island nation,beef,0,0,0,0,0,0,0
Kuwait,Western Asia,beef,0,1.6,0.4,0,0,1.9,0
Kyrgyzstan,East Europe and CIS,beef,3.7,0.7,0,0,0,1.6,0
Lao People's Democratic Republic,Southern Asia,beef,0,2.2,0,0,0,0,42.6
Lebanon,Middle East,beef,1.2,2.5,0.7,0.1,0,4.8,0
Lesotho,Southern Africa,beef,0,0,0,0,0,0,0
Liberia,Western Africa,beef,0,0.8,0,0,0,0,0
Libya,Northern Africa,beef,1.6,1.6,0.5,0,0.1,2.4,1.7
Madagascar,Eastern Africa,beef,0,0,0,0,0,0,115.1
Malawi,Eastern Africa,beef,0,3.1,0.2,0,0.9,0,824.3
Malaysia,Southern Asia,beef,0,1.9,0.4,0.1,0,0,0.2
Mali,Western Africa,beef,0,0.4,0,0,0,0,242.9
Martinique,Caribbean,beef,0.6,1.6,0.3,0,0,0,18.2
Mauritania,Western Africa,beef,0,0,0,0,0,0,0
Mauritius,Eastern Africa,beef,0,2.9,0.6,0,0,0,0
Mexico,Central America,beef,0,1.2,0.4,0.5,0,0.3,0
Micronesia (Federated States of),Island nation,beef,0,0.2,0.1,0,0,0,12.9
Mongolia,Eastern Asia,beef,0.6,0,0,0,0,0,0
Montserrat,Caribbean,beef,0.6,1.6,0.3,0,0,0,18.2
Morocco,Northern Africa,beef,2.1,0.4,0.3,0.1,0.2,2.7,0
Mozambique,Eastern Africa,beef,0,2.1,0.2,0,0,0,257.2
Myanmar,Southern Asia,beef,0,0.3,0,0,0.5,0,0
Namibia,Southern Africa,beef,0,0.1,0,0,0,0,0
Nauru,Island nation,beef,0,0.2,0.1,0,0,0,12.9
Nepal,Southern Asia,beef,0.8,1.1,0.2,0.2,0,0,0
Nicaragua,Central America,beef,0,0.1,0.1,0,0,0,53.4
Niger,Western Africa,beef,0,0,0,0,0.9,0,0
Nigeria,Western Africa,beef,0,1.1,0,0,0.6,0,3126.3
Niue,Island nation,beef,0,0.2,0.1,0,0,0,12.9
Occupied Palestinian Territory,Middle East,beef,1.5,1.2,0.5,1.4,0,6.9,0
Oman,Middle East,beef,0,0,0.4,0.1,0,0.7,0
Pakistan,Middle East,beef,0.3,0.2,0.1,0.2,0.1,0,0
Panama,Central America,beef,0,1.1,0.5,0,0,0,2.8
Papua New Guinea,Island nation,beef,0,0.2,0.1,0,0,0,12.9
Paraguay,South America,beef,0.8,0.1,1.6,0.1,0,0,187.2
Peru,South America,beef,0,2.1,0.5,0,0.1,0.2,0
Philippines,Southern Asia,beef,0.4,1.7,0.4,0,0,0,2.4
Puerto Rico,Central America,beef,0,1.3,0.3,0.1,0,0,5.6
Qatar,Middle East,beef,1.5,1.2,0.5,1.4,0,6.9,0
R'union,Eastern Africa,beef,0,0.9,0.1,0,0.1,0,229.2
Republic of Korea,Eastern Asia,beef,2,2.3,0.7,0.6,0,0,0
Republic of Moldova,East Europe and CIS,beef,2.3,6.6,0.1,0,0,2.8,0
Russian Federation,East Europe and CIS,beef,1.4,0.6,0.2,0.2,0.1,5.8,0
Rwanda,Eastern Africa,beef,0,0,0,0,0,0,0
Saint Kitts and Nevis,Central America,beef,0,0,0,0,0,0,0
Saint Lucia,Central America,beef,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,Caribbean,beef,1.4,1.4,0,0,0,0,26.1
Samoa,Island nation,beef,0,0,0,0,0,0,0.1
Sao Tome and Principe,Central Africa,beef,0,0.1,0,0,0,0,0
Saudi Arabia,Middle East,beef,0.4,1.8,0.9,0,0,41.3,0
Senegal,Western Africa,beef,0,0,0,0,0,0,13.2
Seychelles,Eastern Africa,beef,0,0.9,0.1,0,0.1,0,229.2
Sierra Leone,Western Africa,beef,0,0.1,0,0,0,0,9490.7
Singapore,Southern Asia,beef,0.2,0.9,0.2,0.1,0,0,104.9
Solomon Islands,Island nation,beef,0,0,0,0,0,0,1.9
Somalia,Eastern Africa,beef,0,0.9,0.1,0,0.1,0,229.2
South Africa,Southern Africa,beef,0,1.7,0.4,0.1,0,0,0
South Sudan,Eastern Africa,beef,0,0.9,0.1,0,0.1,0,229.2
Sri Lanka,Southern Asia,beef,0,0.3,0.3,0,0,0,1453.3
Sudan,Northern Africa,beef,0.1,0,0,0,0,0,0
Suriname,South America,beef,0,1.6,0.4,0,0,0,0
Swaziland,Southern Africa,beef,0,0.7,0.1,0,0,0,0
Syrian Arab Republic,Middle East,beef,1.5,1.2,0.5,1.4,0,6.9,0
Tajikistan,East Europe and CIS,beef,7.2,0.3,0,0,0.2,0.4,0
Thailand,Southern Asia,beef,0.5,1.6,0.8,0.6,0,0,41.8
Timor-Leste,Southern Asia,beef,0,0.5,0,0,0,0,0
Togo,Western Africa,beef,0,1.1,0,0,0,0,4.9
Tokelau,Island nation,beef,0,0.2,0.1,0,0,0,12.9
Tonga,Island nation,beef,0,0.2,0.1,0,0,0,12.9
Trinidad and Tobago,Caribbean,beef,0,1.8,0.4,0,0,0,0.8
Tunisia,Northern Africa,beef,0.6,1.8,0.4,0,0.2,7,0
Turkey,Middle East,beef,0.3,0.6,0.3,0.1,0.2,7.2,0
Turkmenistan,East Europe and CIS,beef,3.4,0,0,0,0,0.2,0
Tuvalu,Island nation,beef,0,0.2,0.1,0,0,0,12.9
Uganda,Eastern Africa,beef,0,0.3,0,0,0,0,7.8
Ukraine,East Europe and CIS,beef,2.7,3.5,0.2,0.1,0.1,9.8,0
United Arab Emirates,Middle East,beef,0.5,3.2,1.9,14.5,0.1,4.1,0
United Republic of Tanzania,Eastern Africa,beef,0,0.4,0,0,0.1,0,1316.7
United States Virgin Islands,Caribbean,beef,0.6,1.6,0.3,0,0,0,18.2
Uruguay,South America,beef,0.7,0.1,0.2,0,0,0,0
Uzbekistan,East Europe and CIS,beef,6.3,0,0,0,0,0.2,0
Vanuatu,Island nation,beef,0,0.1,0,0,0,0,0
Venezuela (Bolivarian Republic of),South America,beef,0,0.6,0.4,0,0,0,6.5
Viet Nam,Southern Asia,beef,0.3,1.1,0,0,0,0,9.4
Wallis and Futuna Islands,Island nation,beef,0,0.2,0.1,0,0,0,12.9
Western Sahara,Northern Africa,beef,1.6,1.6,0.5,0,0.1,2.4,1.7
Yemen,Middle East,beef,0,0.3,0.2,0,0,0.2,0
Zambia,Eastern Africa,beef,0,0.6,0,0,0,0,0
Zimbabwe,Eastern Africa,beef,0,0.1,0.3,0,0,0,0
Afghanistan,Middle East,goat,0,0.2,0,0,0,0.5,0
Algeria,Northern Africa,goat,0.9,2.6,0.8,0.1,0,2,0
American Samoa,Island nation,goat,0,0.2,0.1,0,0,0,12.9
Angola,Central Africa,goat,0,0.5,0,0,0,0,2051.8
Antigua and Barbuda,Caribbean,goat,0,0.1,0,0,0,0,52
Argentina,South America,goat,0,0.4,0.7,0,0,0.1,6.6
Armenia,East Europe and CIS,goat,1.2,0.3,0.1,0,0,2.9,0
Azerbaijan,Middle East,goat,1.7,0.2,0.1,0,0,3,0
Bahamas,Caribbean,goat,0,0.1,0,0,0,0,0
Bahrain,Middle East,goat,1.5,1.2,0.5,1.4,0,6.9,0
Bangladesh,Middle East,goat,0,0.5,0.1,0.2,0,0,0
Barbados,Caribbean,goat,0.1,3.9,0.9,0,0,0,0.2
Belarus,East Europe and CIS,goat,1.9,0.8,0.2,0.3,0.2,5.4,0
Belize,Central America,goat,0,2.7,0.4,0,0,0,0
Benin,Western Africa,goat,0,3.4,0.1,0,0,0,6961.2
Bhutan,Middle East,goat,1.5,1.2,0.5,1.4,0,6.9,0
Bolivia (Plurinational State of),South America,goat,0,0.4,0.3,0,0,0.4,16.9
Botswana,Southern Africa,goat,0,0,0.1,0,0,0,0
Brazil,South America,goat,0.1,1,0.5,0,0,0,119.3
British Virgin Islands,Caribbean,goat,0.6,1.6,0.3,0,0,0,18.2
Brunei Darussalam,Southern Asia,goat,0,0,0,0,0,0,0
Burkina Faso,Western Africa,goat,0,0,0,0,0,0,0.2
Burundi,Eastern Africa,goat,0,0.9,0.1,0,0.1,0,229.2
Cote d'Ivoire,Western Africa,goat,0,0.3,0,0,0,0,462.9
Cabo Verde,Western Africa,goat,0,1.2,0.1,0,0,0,0
Cambodia,Southern Asia,goat,0,0.7,0.2,0,0,0,2.4
Cameroon,Central Africa,goat,0,1.4,0.1,0,0,0,817.5
Central African Republic,Central Africa,goat,0,0,0,0,0,0,0
Chad,Central Africa,goat,0,0.1,0,0,0,0,573.7
Chile,South America,goat,0.1,1,0.3,0.1,0,0.1,0
"China, Hong Kong SAR",Eastern Asia,goat,0,0.1,0.1,0,0,0,0.5
"China, Macao SAR",Eastern Asia,goat,0,0,0,0,0,0,0
"China, mainland",China,goat,0.4,1.5,0.3,0.5,0,0,9.3
"China, Taiwan Province of",China,goat,0.1,4,0.7,0.3,0,0.1,0.1
Colombia,South America,goat,0,0.8,0.3,0,0,0,1.8
Comoros,Eastern Africa,goat,0,0.9,0.1,0,0.1,0,229.2
Congo,Central Africa,goat,0,0,0.3,0,0,0,1.7
Cook Islands,Island nation,goat,0,0.2,0.1,0,0,0,12.9
Costa Rica,Central America,goat,0,1.2,0.4,0,0,0,0
Cuba,Caribbean,goat,0.7,1.6,0.6,0,0,0,26.9
Cyprus,Western Asia,goat,0.1,2.7,0.9,0,0,8.8,0
Democratic People's Republic of Korea,Eastern Asia,goat,0.1,0.6,0.5,0,0,0.1,0
Democratic Republic of the Congo,Central Africa,goat,0,0.6,0.1,0,0,0,597.5
Djibouti,Eastern Africa,goat,0,0.9,0.1,0,0.1,0,229.2
Dominica,Caribbean,goat,0,0,0,0,0,0,24.6
Dominican Republic,Caribbean,goat,1.4,1.8,0.6,0,0,0,0
Ecuador,South America,goat,0,0.6,0.5,0,0,0,0
Egypt,Northern Africa,goat,4,3.3,1,0,0.2,0.3,8.7
El Salvador,Central America,goat,0,4.1,0.4,0,0,0,0
Equatorial Guinea,Central Africa,goat,0,0.6,0.1,0,0,0,597.5
Eritrea,Eastern Africa,goat,0,0.9,0.1,0,0.1,0,229.2
Ethiopia,Eastern Africa,goat,0,0.3,0,0,0,0,0
Falkland Islands (Malvinas),South America,goat,0.2,0.8,0.5,0,0,0.1,31.2
Fiji,Island nation,goat,0,0,0.2,0,0,0,52.8
French Guiana,South America,goat,0.2,0.8,0.5,0,0,0.1,31.2
French Polynesia,Island nation,goat,0,1.3,0.2,0,0,0,22.5
Gabon,Central Africa,goat,0,2.1,0.2,0,0,0,737.7
Gambia,Western Africa,goat,0,0.9,0,0,0,0,0
Georgia,Western Asia,goat,1.2,0.8,0.1,0,0,0,0
Ghana,Western Africa,goat,0,3.1,0,0,0,0,5389.3
Grenada,Caribbean,goat,3.2,3.8,0.3,0,0.3,0,0
Guadeloupe,Caribbean,goat,0.6,1.6,0.3,0,0,0,18.2
Guam,Island nation,goat,0,0.2,0.1,0,0,0,12.9
Guatemala,Central America,goat,0,1.5,0.4,0,0,0,0
Guinea,Western Africa,goat,0,1.6,0,0,0,0,6.7
Guinea-Bissau,Western Africa,goat,0,0,0,0,0,0,0
Guyana,South America,goat,0.4,1.2,0.3,0,0,0,35.9
Haiti,Caribbean,goat,0,0.1,0,0,0,0,37.1
Honduras,Central America,goat,0.1,0.9,0.3,0,0,0,0
India,Southern Asia,goat,0.2,0.3,0.1,0.1,0.1,0,0
Indonesia,Southern Asia,goat,0,0.9,0.5,0.2,0,0,20.6
Iran (Islamic Republic of),Middle East,goat,0.4,2.1,0.5,0.3,0,6.4,0
Iraq,Middle East,goat,10,1.1,0,0,0,4.8,0
Israel,Middle East,goat,3.2,2.1,0.6,0.9,0,9.8,0.2
Jamaica,Caribbean,goat,0,3.4,0.6,0,0,0,32.6
Japan,Eastern Asia,goat,0.3,2.8,0.6,1.2,0,2.1,0
Jordan,Western Asia,goat,0,3.5,1,0,0,17.1,0
Kazakhstan,East Europe and CIS,goat,6,0.2,0.1,0,0,3.2,0
Kenya,Eastern Africa,goat,0,0.1,0,0,0,0,0
Kiribati,Island nation,goat,0,0,0,0,0,0,0
Kuwait,Western Asia,goat,0,1.6,0.4,0,0,1.9,0
Kyrgyzstan,East Europe and CIS,goat,3.7,0.7,0,0,0,1.6,0
Lao People's Democratic Republic,Southern Asia,goat,0,2.2,0,0,0,0,42.6
Lebanon,Middle East,goat,1.2,2.5,0.7,0.1,0,4.8,0
Lesotho,Southern Africa,goat,0,0,0,0,0,0,0
Liberia,Western Africa,goat,0,0.8,0,0,0,0,0
Libya,Northern Africa,goat,1.6,1.6,0.5,0,0.1,2.4,1.7
Madagascar,Eastern Africa,goat,0,0,0,0,0,0,115.1
Malawi,Eastern Africa,goat,0,3.1,0.2,0,0.9,0,824.3
Malaysia,Southern Asia,goat,0,1.9,0.4,0.1,0,0,0.2
Mali,Western Africa,goat,0,0.4,0,0,0,0,242.9
Martinique,Caribbean,goat,0.6,1.6,0.3,0,0,0,18.2
Mauritania,Western Africa,goat,0,0,0,0,0,0,0
Mauritius,Eastern Africa,goat,0,2.9,0.6,0,0,0,0
Mexico,Central America,goat,0,1.2,0.4,0.5,0,0.3,0
Micronesia (Federated States of),Island nation,goat,0,0.2,0.1,0,0,0,12.9
Mongolia,Eastern Asia,goat,0.6,0,0,0,0,0,0
Montserrat,Caribbean,goat,0.6,1.6,0.3,0,0,0,18.2
Morocco,Northern Africa,goat,2.1,0.4,0.3,0.1,0.2,2.7,0
Mozambique,Eastern Africa,goat,0,2.1,0.2,0,0,0,257.2
Myanmar,Southern Asia,goat,0,0.3,0,0,0.5,0,0
Namibia,Southern Africa,goat,0,0.1,0,0,0,0,0
Nauru,Island nation,goat,0,0.2,0.1,0,0,0,12.9
Nepal,Southern Asia,goat,0.8,1.1,0.2,0.2,0,0,0
Nicaragua,Central America,goat,0,0.1,0.1,0,0,0,53.4
Niger,Western Africa,goat,0,0,0,0,0.9,0,0
Nigeria,Western Africa,goat,0,1.1,0,0,0.6,0,3126.3
Niue,Island nation,goat,0,0.2,0.1,0,0,0,12.9
Occupied Palestinian Territory,Middle East,goat,1.5,1.2,0.5,1.4,0,6.9,0
Oman,Middle East,goat,0,0,0.4,0.1,0,0.7,0
Pakistan,Middle East,goat,0.3,0.2,0.1,0.2,0.1,0,0
Panama,Central America,goat,0,1.1,0.5,0,0,0,2.8
Papua New Guinea,Island nation,goat,0,0.2,0.1,0,0,0,12.9
Paraguay,South America,goat,0.8,0.1,1.6,0.1,0,0,187.2
Peru,South America,goat,0,2.1,0.5,0,0.1,0.2,0
Philippines,Southern Asia,goat,0.4,1.7,0.4,0,0,0,2.4
Puerto Rico,Central America,goat,0,1.3,0.3,0.1,0,0,5.6
Qatar,Middle East,goat,1.5,1.2,0.5,1.4,0,6.9,0
R'union,Eastern Africa,goat,0,0.9,0.1,0,0.1,0,229.2
Republic of Korea,Eastern Asia,goat,2,2.3,0.7,0.6,0,0,0
Republic of Moldova,East Europe and CIS,goat,2.3,6.6,0.1,0,0,2.8,0
Russian Federation,East Europe and CIS,goat,1.4,0.6,0.2,0.2,0.1,5.8,0
Rwanda,Eastern Africa,goat,0,0,0,0,0,0,0
Saint Kitts and Nevis,Central America,goat,0,0,0,0,0,0,0
Saint Lucia,Central America,goat,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,Caribbean,goat,1.4,1.4,0,0,0,0,26.1
Samoa,Island nation,goat,0,0,0,0,0,0,0.1
Sao Tome and Principe,Central Africa,goat,0,0.1,0,0,0,0,0
Saudi Arabia,Middle East,goat,0.4,1.8,0.9,0,0,41.3,0
Senegal,Western Africa,goat,0,0,0,0,0,0,13.2
Seychelles,Eastern Africa,goat,0,0.9,0.1,0,0.1,0,229.2
Sierra Leone,Western Africa,goat,0,0.1,0,0,0,0,9490.7
Singapore,Southern Asia,goat,0.2,0.9,0.2,0.1,0,0,104.9
Solomon Islands,Island nation,goat,0,0,0,0,0,0,1.9
Somalia,Eastern Africa,goat,0,0.9,0.1,0,0.1,0,229.2
South Africa,Southern Africa,goat,0,1.7,0.4,0.1,0,0,0
South Sudan,Eastern Africa,goat,0,0.9,0.1,0,0.1,0,229.2
Sri Lanka,Southern Asia,goat,0,0.3,0.3,0,0,0,1453.3
Sudan,Northern Africa,goat,0.1,0,0,0,0,0,0
Suriname,South America,goat,0,1.6,0.4,0,0,0,0
Swaziland,Southern Africa,goat,0,0.7,0.1,0,0,0,0
Syrian Arab Republic,Middle East,goat,1.5,1.2,0.5,1.4,0,6.9,0
Tajikistan,East Europe and CIS,goat,7.2,0.3,0,0,0.2,0.4,0
Thailand,Southern Asia,goat,0.5,1.6,0.8,0.6,0,0,41.8
Timor-Leste,Southern Asia,goat,0,0.5,0,0,0,0,0
Togo,Western Africa,goat,0,1.1,0,0,0,0,4.9
Tokelau,Island nation,goat,0,0.2,0.1,0,0,0,12.9
Tonga,Island nation,goat,0,0.2,0.1,0,0,0,12.9
Trinidad and Tobago,Caribbean,goat,0,1.8,0.4,0,0,0,0.8
Tunisia,Northern Africa,goat,0.6,1.8,0.4,0,0.2,7,0
Turkey,Middle East,goat,0.3,0.6,0.3,0.1,0.2,7.2,0
Turkmenistan,East Europe and CIS,goat,3.4,0,0,0,0,0.2,0
Tuvalu,Island nation,goat,0,0.2,0.1,0,0,0,12.9
Uganda,Eastern Africa,goat,0,0.3,0,0,0,0,7.8
Ukraine,East Europe and CIS,goat,2.7,3.5,0.2,0.1,0.1,9.8,0
United Arab Emirates,Middle East,goat,0.5,3.2,1.9,14.5,0.1,4.1,0
United Republic of Tanzania,Eastern Africa,goat,0,0.4,0,0,0.1,0,1316.7
United States Virgin Islands,Caribbean,goat,0.6,1.6,0.3,0,0,0,18.2
Uruguay,South America,goat,0.7,0.1,0.2,0,0,0,0
Uzbekistan,East Europe and CIS,goat,6.3,0,0,0,0,0.2,0
